epoch 1: KL = 0.8741, logLKH = -14.8758, prob_sum = 0.1364, lr = 0.0020000
epoch 10000: KL = 0.1814, logLKH = -5.1790, prob_sum = 0.0938, lr = 0.0020000
epoch 20000: KL = 0.1448, logLKH = -4.6666, prob_sum = 0.1550, lr = 0.0020000
epoch 30000: KL = 0.1192, logLKH = -4.3080, prob_sum = 0.2249, lr = 0.0020000
epoch 40000: KL = 0.0984, logLKH = -4.0164, prob_sum = 0.2993, lr = 0.0020000
epoch 50000: KL = 0.0828, logLKH = -3.7980, prob_sum = 0.3771, lr = 0.0020000
epoch 60000: KL = 0.0718, logLKH = -3.6441, prob_sum = 0.4513, lr = 0.0020000
epoch 70000: KL = 0.0605, logLKH = -3.4860, prob_sum = 0.5188, lr = 0.0020000
epoch 80000: KL = 0.0539, logLKH = -3.3932, prob_sum = 0.5819, lr = 0.0020000
epoch 90000: KL = 0.0477, logLKH = -3.3068, prob_sum = 0.6344, lr = 0.0020000
epoch 100000: KL = 0.0447, logLKH = -3.2651, prob_sum = 0.6791, lr = 0.0020000
epoch 110000: KL = 0.0410, logLKH = -3.2131, prob_sum = 0.7190, lr = 0.0020000
epoch 120000: KL = 0.0400, logLKH = -3.1991, prob_sum = 0.7512, lr = 0.0020000
epoch 130000: KL = 0.0362, logLKH = -3.1455, prob_sum = 0.7789, lr = 0.0020000
epoch 140000: KL = 0.0354, logLKH = -3.1344, prob_sum = 0.8016, lr = 0.0020000
epoch 150000: KL = 0.0354, logLKH = -3.1352, prob_sum = 0.8210, lr = 0.0020000
epoch 160000: KL = 0.0345, logLKH = -3.1223, prob_sum = 0.8381, lr = 0.0020000
epoch 170000: KL = 0.0321, logLKH = -3.0885, prob_sum = 0.8525, lr = 0.0020000
epoch 180000: KL = 0.0325, logLKH = -3.0944, prob_sum = 0.8660, lr = 0.0020000
epoch 190000: KL = 0.0318, logLKH = -3.0841, prob_sum = 0.8769, lr = 0.0020000
epoch 200000: KL = 0.0321, logLKH = -3.0880, prob_sum = 0.8867, lr = 0.0020000
epoch 210000: KL = 0.0311, logLKH = -3.0745, prob_sum = 0.8933, lr = 0.0020000
epoch 220000: KL = 0.0319, logLKH = -3.0850, prob_sum = 0.9002, lr = 0.0020000
epoch 230000: KL = 0.0303, logLKH = -3.0633, prob_sum = 0.9074, lr = 0.0020000
epoch 240000: KL = 0.0310, logLKH = -3.0734, prob_sum = 0.9127, lr = 0.0020000
epoch 250000: KL = 0.0309, logLKH = -3.0716, prob_sum = 0.9176, lr = 0.0020000
epoch 260000: KL = 0.0307, logLKH = -3.0689, prob_sum = 0.9222, lr = 0.0020000
epoch 270000: KL = 0.0300, logLKH = -3.0593, prob_sum = 0.9264, lr = 0.0020000
epoch 280000: KL = 0.0298, logLKH = -3.0568, prob_sum = 0.9304, lr = 0.0020000
epoch 290000: KL = 0.0314, logLKH = -3.0790, prob_sum = 0.9339, lr = 0.0020000
epoch 300000: KL = 0.0312, logLKH = -3.0758, prob_sum = 0.9366, lr = 0.0020000
100%|████████████████████████████████████████████████████████████████████████| 300000/300000 [00:29<00:00, 10048.08it/s]
