epoch: 6400, KL = 0.1765, logLKH = -5.1099, prob_sum = 0.1095, lr = 0.0024949
epoch: 6500, KL = 0.1745, logLKH = -5.0825, prob_sum = 0.1103, lr = 0.0024947
epoch: 6600, KL = 0.1781, logLKH = -5.1331, prob_sum = 0.1141, lr = 0.0024946
epoch: 6700, KL = 0.1731, logLKH = -5.0627, prob_sum = 0.1112, lr = 0.0024944
epoch: 6800, KL = 0.1732, logLKH = -5.0643, prob_sum = 0.1147, lr = 0.0024942
epoch: 6900, KL = 0.1730, logLKH = -5.0612, prob_sum = 0.1147, lr = 0.0024941
epoch: 7000, KL = 0.1747, logLKH = -5.0849, prob_sum = 0.1153, lr = 0.0024939
epoch: 7100, KL = 0.1744, logLKH = -5.0806, prob_sum = 0.1139, lr = 0.0024937
epoch: 7200, KL = 0.1710, logLKH = -5.0326, prob_sum = 0.1139, lr = 0.0024935
epoch: 7300, KL = 0.1705, logLKH = -5.0257, prob_sum = 0.1178, lr = 0.0024933
epoch: 7400, KL = 0.1709, logLKH = -5.0320, prob_sum = 0.1206, lr = 0.0024932
epoch: 7500, KL = 0.1677, logLKH = -4.9869, prob_sum = 0.1220, lr = 0.0024930
epoch: 7600, KL = 0.1665, logLKH = -4.9694, prob_sum = 0.1236, lr = 0.0024928
epoch: 7700, KL = 0.1650, logLKH = -4.9485, prob_sum = 0.1212, lr = 0.0024926
epoch: 7800, KL = 0.1651, logLKH = -4.9504, prob_sum = 0.1237, lr = 0.0024924
epoch: 7900, KL = 0.1648, logLKH = -4.9469, prob_sum = 0.1246, lr = 0.0024922
epoch: 8000, KL = 0.1670, logLKH = -4.9768, prob_sum = 0.1249, lr = 0.0024920
epoch: 8100, KL = 0.1641, logLKH = -4.9364, prob_sum = 0.1233, lr = 0.0024918
epoch: 8200, KL = 0.1644, logLKH = -4.9401, prob_sum = 0.1243, lr = 0.0024916
epoch: 8300, KL = 0.1636, logLKH = -4.9290, prob_sum = 0.1309, lr = 0.0024914
epoch: 8400, KL = 0.1619, logLKH = -4.9057, prob_sum = 0.1286, lr = 0.0024912
epoch: 8500, KL = 0.1622, logLKH = -4.9095, prob_sum = 0.1280, lr = 0.0024910
epoch: 8600, KL = 0.1659, logLKH = -4.9619, prob_sum = 0.1315, lr = 0.0024908
epoch: 8700, KL = 0.1609, logLKH = -4.8912, prob_sum = 0.1320, lr = 0.0024906
epoch: 8800, KL = 0.1643, logLKH = -4.9392, prob_sum = 0.1359, lr = 0.0024903
epoch: 8900, KL = 0.1646, logLKH = -4.9433, prob_sum = 0.1372, lr = 0.0024901
epoch: 9000, KL = 0.1581, logLKH = -4.8522, prob_sum = 0.1321, lr = 0.0024899
epoch: 9100, KL = 0.1589, logLKH = -4.8633, prob_sum = 0.1323, lr = 0.0024897
epoch: 9200, KL = 0.1609, logLKH = -4.8921, prob_sum = 0.1377, lr = 0.0024894
epoch: 9300, KL = 0.1570, logLKH = -4.8374, prob_sum = 0.1379, lr = 0.0024892
epoch: 9400, KL = 0.1604, logLKH = -4.8846, prob_sum = 0.1466, lr = 0.0024890
epoch: 9500, KL = 0.1548, logLKH = -4.8064, prob_sum = 0.1402, lr = 0.0024887
epoch: 9600, KL = 0.1535, logLKH = -4.7884, prob_sum = 0.1411, lr = 0.0024885
epoch: 9700, KL = 0.1535, logLKH = -4.7882, prob_sum = 0.1405, lr = 0.0024883
epoch: 9800, KL = 0.1531, logLKH = -4.7825, prob_sum = 0.1431, lr = 0.0024880
epoch: 9900, KL = 0.1550, logLKH = -4.8092, prob_sum = 0.1501, lr = 0.0024878
epoch: 10000, KL = 0.1545, logLKH = -4.8027, prob_sum = 0.1467, lr = 0.0024875
epoch: 10100, KL = 0.1572, logLKH = -4.8404, prob_sum = 0.1485, lr = 0.0024873
epoch: 10200, KL = 0.1536, logLKH = -4.7898, prob_sum = 0.1455, lr = 0.0024870
epoch: 10300, KL = 0.1529, logLKH = -4.7794, prob_sum = 0.1452, lr = 0.0024868
epoch: 10400, KL = 0.1483, logLKH = -4.7151, prob_sum = 0.1504, lr = 0.0024865
epoch: 10500, KL = 0.1496, logLKH = -4.7331, prob_sum = 0.1521, lr = 0.0024863
epoch: 10600, KL = 0.1481, logLKH = -4.7125, prob_sum = 0.1513, lr = 0.0024860
epoch: 10700, KL = 0.1534, logLKH = -4.7869, prob_sum = 0.1554, lr = 0.0024857
epoch: 10800, KL = 0.1529, logLKH = -4.7793, prob_sum = 0.1598, lr = 0.0024855
epoch: 10900, KL = 0.1493, logLKH = -4.7291, prob_sum = 0.1561, lr = 0.0024852
epoch: 11000, KL = 0.1494, logLKH = -4.7305, prob_sum = 0.1561, lr = 0.0024849
epoch: 11100, KL = 0.1499, logLKH = -4.7370, prob_sum = 0.1576, lr = 0.0024846
epoch: 11200, KL = 0.1456, logLKH = -4.6771, prob_sum = 0.1574, lr = 0.0024844
epoch: 11300, KL = 0.1468, logLKH = -4.6943, prob_sum = 0.1653, lr = 0.0024841
epoch: 11400, KL = 0.1443, logLKH = -4.6599, prob_sum = 0.1613, lr = 0.0024838
epoch: 11500, KL = 0.1472, logLKH = -4.6996, prob_sum = 0.1635, lr = 0.0024835
epoch: 11600, KL = 0.1444, logLKH = -4.6605, prob_sum = 0.1620, lr = 0.0024832
epoch: 11700, KL = 0.1420, logLKH = -4.6273, prob_sum = 0.1618, lr = 0.0024829
epoch: 11800, KL = 0.1456, logLKH = -4.6773, prob_sum = 0.1591, lr = 0.0024827
epoch: 11900, KL = 0.1416, logLKH = -4.6217, prob_sum = 0.1598, lr = 0.0024824
epoch: 12000, KL = 0.1423, logLKH = -4.6308, prob_sum = 0.1617, lr = 0.0024821
epoch: 12100, KL = 0.1406, logLKH = -4.6068, prob_sum = 0.1625, lr = 0.0024818
epoch: 12200, KL = 0.1405, logLKH = -4.6067, prob_sum = 0.1693, lr = 0.0024815
epoch: 12300, KL = 0.1399, logLKH = -4.5982, prob_sum = 0.1680, lr = 0.0024812
epoch: 12400, KL = 0.1419, logLKH = -4.6255, prob_sum = 0.1669, lr = 0.0024809
epoch: 12500, KL = 0.1418, logLKH = -4.6239, prob_sum = 0.1708, lr = 0.0024805
epoch: 12600, KL = 0.1406, logLKH = -4.6069, prob_sum = 0.1740, lr = 0.0024802
epoch: 12700, KL = 0.1445, logLKH = -4.6620, prob_sum = 0.1798, lr = 0.0024799
epoch: 12800, KL = 0.1384, logLKH = -4.5770, prob_sum = 0.1758, lr = 0.0024796
epoch: 12900, KL = 0.1377, logLKH = -4.5673, prob_sum = 0.1757, lr = 0.0024793
epoch: 13000, KL = 0.1359, logLKH = -4.5422, prob_sum = 0.1715, lr = 0.0024790
epoch: 13100, KL = 0.1399, logLKH = -4.5970, prob_sum = 0.1773, lr = 0.0024786
epoch: 13200, KL = 0.1381, logLKH = -4.5729, prob_sum = 0.1773, lr = 0.0024783
epoch: 13300, KL = 0.1339, logLKH = -4.5143, prob_sum = 0.1759, lr = 0.0024780
epoch: 13400, KL = 0.1364, logLKH = -4.5489, prob_sum = 0.1812, lr = 0.0024777
epoch: 13500, KL = 0.1341, logLKH = -4.5160, prob_sum = 0.1788, lr = 0.0024773
epoch: 13600, KL = 0.1327, logLKH = -4.4971, prob_sum = 0.1799, lr = 0.0024770
epoch: 13700, KL = 0.1326, logLKH = -4.4959, prob_sum = 0.1813, lr = 0.0024767
epoch: 13800, KL = 0.1356, logLKH = -4.5369, prob_sum = 0.1827, lr = 0.0024763
epoch: 13900, KL = 0.1363, logLKH = -4.5469, prob_sum = 0.1844, lr = 0.0024760
epoch: 14000, KL = 0.1338, logLKH = -4.5123, prob_sum = 0.1786, lr = 0.0024756
epoch: 14100, KL = 0.1316, logLKH = -4.4817, prob_sum = 0.1833, lr = 0.0024753
epoch: 14200, KL = 0.1357, logLKH = -4.5388, prob_sum = 0.1880, lr = 0.0024749
epoch: 14300, KL = 0.1310, logLKH = -4.4726, prob_sum = 0.1911, lr = 0.0024746
epoch: 14400, KL = 0.1310, logLKH = -4.4736, prob_sum = 0.1903, lr = 0.0024742
epoch: 14500, KL = 0.1310, logLKH = -4.4735, prob_sum = 0.1906, lr = 0.0024739
epoch: 14600, KL = 0.1327, logLKH = -4.4970, prob_sum = 0.1948, lr = 0.0024735
epoch: 14700, KL = 0.1307, logLKH = -4.4687, prob_sum = 0.1971, lr = 0.0024731
epoch: 14800, KL = 0.1329, logLKH = -4.4996, prob_sum = 0.1946, lr = 0.0024728
epoch: 14900, KL = 0.1320, logLKH = -4.4873, prob_sum = 0.1927, lr = 0.0024724
epoch: 15000, KL = 0.1342, logLKH = -4.5185, prob_sum = 0.1899, lr = 0.0024720
epoch: 15100, KL = 0.1326, logLKH = -4.4958, prob_sum = 0.1885, lr = 0.0024717
epoch: 15200, KL = 0.1271, logLKH = -4.4181, prob_sum = 0.1995, lr = 0.0024713
epoch: 15300, KL = 0.1263, logLKH = -4.4070, prob_sum = 0.1915, lr = 0.0024709
epoch: 15400, KL = 0.1261, logLKH = -4.4049, prob_sum = 0.2042, lr = 0.0024705
epoch: 15500, KL = 0.1249, logLKH = -4.3877, prob_sum = 0.2070, lr = 0.0024702
epoch: 15600, KL = 0.1305, logLKH = -4.4662, prob_sum = 0.2228, lr = 0.0024698
