epoch 6500: KL = 0.1824, logLKH = -5.1927, prob_sum = 0.0853, lr = 0.0020000
epoch 6600: KL = 0.1817, logLKH = -5.1823, prob_sum = 0.0862, lr = 0.0020000
epoch 6700: KL = 0.1809, logLKH = -5.1720, prob_sum = 0.0873, lr = 0.0020000
epoch 6800: KL = 0.1803, logLKH = -5.1634, prob_sum = 0.0882, lr = 0.0020000
epoch 6900: KL = 0.1796, logLKH = -5.1540, prob_sum = 0.0885, lr = 0.0020000
epoch 7000: KL = 0.1789, logLKH = -5.1436, prob_sum = 0.0894, lr = 0.0020000
epoch 7100: KL = 0.1782, logLKH = -5.1344, prob_sum = 0.0909, lr = 0.0020000
epoch 7200: KL = 0.1776, logLKH = -5.1261, prob_sum = 0.0910, lr = 0.0020000
epoch 7300: KL = 0.1771, logLKH = -5.1187, prob_sum = 0.0918, lr = 0.0020000
epoch 7400: KL = 0.1766, logLKH = -5.1114, prob_sum = 0.0923, lr = 0.0020000
epoch 7500: KL = 0.1759, logLKH = -5.1013, prob_sum = 0.0928, lr = 0.0020000
epoch 7600: KL = 0.1751, logLKH = -5.0908, prob_sum = 0.0941, lr = 0.0020000
epoch 7700: KL = 0.1746, logLKH = -5.0839, prob_sum = 0.0947, lr = 0.0020000
epoch 7800: KL = 0.1740, logLKH = -5.0744, prob_sum = 0.0956, lr = 0.0020000
epoch 7900: KL = 0.1734, logLKH = -5.0670, prob_sum = 0.0962, lr = 0.0020000
epoch 8000: KL = 0.1728, logLKH = -5.0579, prob_sum = 0.0968, lr = 0.0020000
epoch 8100: KL = 0.1721, logLKH = -5.0484, prob_sum = 0.0978, lr = 0.0020000
epoch 8200: KL = 0.1715, logLKH = -5.0395, prob_sum = 0.0983, lr = 0.0020000
epoch 8300: KL = 0.1709, logLKH = -5.0321, prob_sum = 0.0989, lr = 0.0020000
epoch 8400: KL = 0.1704, logLKH = -5.0243, prob_sum = 0.0998, lr = 0.0020000
epoch 8500: KL = 0.1700, logLKH = -5.0187, prob_sum = 0.1016, lr = 0.0020000
epoch 8600: KL = 0.1700, logLKH = -5.0196, prob_sum = 0.1028, lr = 0.0020000
epoch 8700: KL = 0.1696, logLKH = -5.0137, prob_sum = 0.1026, lr = 0.0020000
epoch 8800: KL = 0.1684, logLKH = -4.9960, prob_sum = 0.1034, lr = 0.0020000
epoch 8900: KL = 0.1677, logLKH = -4.9870, prob_sum = 0.1021, lr = 0.0020000
epoch 9000: KL = 0.1671, logLKH = -4.9778, prob_sum = 0.1044, lr = 0.0020000
epoch 9100: KL = 0.1667, logLKH = -4.9735, prob_sum = 0.1054, lr = 0.0020000
epoch 9200: KL = 0.1664, logLKH = -4.9686, prob_sum = 0.1057, lr = 0.0020000
epoch 9300: KL = 0.1661, logLKH = -4.9641, prob_sum = 0.1060, lr = 0.0020000
epoch 9400: KL = 0.1652, logLKH = -4.9523, prob_sum = 0.1058, lr = 0.0020000
epoch 9500: KL = 0.1647, logLKH = -4.9445, prob_sum = 0.1077, lr = 0.0020000
epoch 9600: KL = 0.1639, logLKH = -4.9344, prob_sum = 0.1077, lr = 0.0020000
epoch 9700: KL = 0.1635, logLKH = -4.9285, prob_sum = 0.1077, lr = 0.0020000
epoch 9800: KL = 0.1629, logLKH = -4.9201, prob_sum = 0.1099, lr = 0.0020000
epoch 9900: KL = 0.1625, logLKH = -4.9137, prob_sum = 0.1103, lr = 0.0020000
epoch 10000: KL = 0.1620, logLKH = -4.9064, prob_sum = 0.1099, lr = 0.0020000
epoch 10100: KL = 0.1613, logLKH = -4.8974, prob_sum = 0.1117, lr = 0.0020000
epoch 10200: KL = 0.1610, logLKH = -4.8936, prob_sum = 0.1127, lr = 0.0020000
epoch 10300: KL = 0.1608, logLKH = -4.8908, prob_sum = 0.1128, lr = 0.0020000
epoch 10400: KL = 0.1600, logLKH = -4.8791, prob_sum = 0.1146, lr = 0.0020000
epoch 10500: KL = 0.1594, logLKH = -4.8703, prob_sum = 0.1154, lr = 0.0020000
epoch 10600: KL = 0.1590, logLKH = -4.8652, prob_sum = 0.1156, lr = 0.0020000
epoch 10700: KL = 0.1586, logLKH = -4.8595, prob_sum = 0.1178, lr = 0.0020000
epoch 10800: KL = 0.1581, logLKH = -4.8519, prob_sum = 0.1183, lr = 0.0020000
epoch 10900: KL = 0.1578, logLKH = -4.8482, prob_sum = 0.1175, lr = 0.0020000
epoch 11000: KL = 0.1576, logLKH = -4.8451, prob_sum = 0.1187, lr = 0.0020000
epoch 11100: KL = 0.1566, logLKH = -4.8321, prob_sum = 0.1182, lr = 0.0020000
epoch 11200: KL = 0.1560, logLKH = -4.8234, prob_sum = 0.1200, lr = 0.0020000
epoch 11300: KL = 0.1555, logLKH = -4.8164, prob_sum = 0.1202, lr = 0.0020000
epoch 11400: KL = 0.1552, logLKH = -4.8117, prob_sum = 0.1212, lr = 0.0020000
epoch 11500: KL = 0.1546, logLKH = -4.8039, prob_sum = 0.1216, lr = 0.0020000
epoch 11600: KL = 0.1540, logLKH = -4.7956, prob_sum = 0.1233, lr = 0.0020000
epoch 11700: KL = 0.1534, logLKH = -4.7870, prob_sum = 0.1238, lr = 0.0020000
epoch 11800: KL = 0.1529, logLKH = -4.7802, prob_sum = 0.1258, lr = 0.0020000
epoch 11900: KL = 0.1526, logLKH = -4.7761, prob_sum = 0.1258, lr = 0.0020000
epoch 12000: KL = 0.1522, logLKH = -4.7700, prob_sum = 0.1268, lr = 0.0020000
epoch 12100: KL = 0.1516, logLKH = -4.7614, prob_sum = 0.1289, lr = 0.0020000
epoch 12200: KL = 0.1515, logLKH = -4.7606, prob_sum = 0.1281, lr = 0.0020000
epoch 12300: KL = 0.1522, logLKH = -4.7696, prob_sum = 0.1276, lr = 0.0020000
epoch 12400: KL = 0.1509, logLKH = -4.7522, prob_sum = 0.1296, lr = 0.0020000
epoch 12500: KL = 0.1503, logLKH = -4.7433, prob_sum = 0.1318, lr = 0.0020000
epoch 12600: KL = 0.1496, logLKH = -4.7337, prob_sum = 0.1315, lr = 0.0020000
epoch 12700: KL = 0.1490, logLKH = -4.7247, prob_sum = 0.1329, lr = 0.0020000
epoch 12800: KL = 0.1487, logLKH = -4.7202, prob_sum = 0.1336, lr = 0.0020000
epoch 12900: KL = 0.1482, logLKH = -4.7136, prob_sum = 0.1358, lr = 0.0020000
epoch 13000: KL = 0.1479, logLKH = -4.7097, prob_sum = 0.1375, lr = 0.0020000
epoch 13100: KL = 0.1474, logLKH = -4.7021, prob_sum = 0.1358, lr = 0.0020000
epoch 13200: KL = 0.1471, logLKH = -4.6979, prob_sum = 0.1380, lr = 0.0020000
epoch 13300: KL = 0.1464, logLKH = -4.6886, prob_sum = 0.1383, lr = 0.0020000
epoch 13400: KL = 0.1459, logLKH = -4.6818, prob_sum = 0.1381, lr = 0.0020000
epoch 13500: KL = 0.1457, logLKH = -4.6782, prob_sum = 0.1394, lr = 0.0020000
epoch 13600: KL = 0.1452, logLKH = -4.6715, prob_sum = 0.1401, lr = 0.0020000
epoch 13700: KL = 0.1447, logLKH = -4.6653, prob_sum = 0.1416, lr = 0.0020000
epoch 13800: KL = 0.1444, logLKH = -4.6605, prob_sum = 0.1432, lr = 0.0020000
epoch 13900: KL = 0.1440, logLKH = -4.6551, prob_sum = 0.1442, lr = 0.0020000
epoch 14000: KL = 0.1438, logLKH = -4.6523, prob_sum = 0.1447, lr = 0.0020000
epoch 14100: KL = 0.1436, logLKH = -4.6496, prob_sum = 0.1435, lr = 0.0020000
epoch 14200: KL = 0.1431, logLKH = -4.6422, prob_sum = 0.1449, lr = 0.0020000
epoch 14300: KL = 0.1421, logLKH = -4.6285, prob_sum = 0.1461, lr = 0.0020000
epoch 14400: KL = 0.1416, logLKH = -4.6219, prob_sum = 0.1472, lr = 0.0020000
epoch 14500: KL = 0.1417, logLKH = -4.6233, prob_sum = 0.1487, lr = 0.0020000
epoch 14600: KL = 0.1409, logLKH = -4.6121, prob_sum = 0.1492, lr = 0.0020000
epoch 14700: KL = 0.1404, logLKH = -4.6050, prob_sum = 0.1495, lr = 0.0020000
epoch 14800: KL = 0.1400, logLKH = -4.5996, prob_sum = 0.1506, lr = 0.0020000
epoch 14900: KL = 0.1396, logLKH = -4.5932, prob_sum = 0.1516, lr = 0.0020000
epoch 15000: KL = 0.1390, logLKH = -4.5852, prob_sum = 0.1525, lr = 0.0020000
epoch 15100: KL = 0.1386, logLKH = -4.5795, prob_sum = 0.1532, lr = 0.0020000
epoch 15200: KL = 0.1383, logLKH = -4.5755, prob_sum = 0.1563, lr = 0.0020000
epoch 15300: KL = 0.1377, logLKH = -4.5673, prob_sum = 0.1548, lr = 0.0020000
epoch 15400: KL = 0.1373, logLKH = -4.5610, prob_sum = 0.1556, lr = 0.0020000
epoch 15500: KL = 0.1372, logLKH = -4.5596, prob_sum = 0.1581, lr = 0.0020000
epoch 15600: KL = 0.1369, logLKH = -4.5560, prob_sum = 0.1599, lr = 0.0020000
epoch 15700: KL = 0.1366, logLKH = -4.5518, prob_sum = 0.1600, lr = 0.0020000
epoch 15800: KL = 0.1359, logLKH = -4.5416, prob_sum = 0.1609, lr = 0.0020000
epoch 15900: KL = 0.1354, logLKH = -4.5348, prob_sum = 0.1620, lr = 0.0020000
epoch 16000: KL = 0.1348, logLKH = -4.5269, prob_sum = 0.1630, lr = 0.0020000
epoch 16100: KL = 0.1348, logLKH = -4.5264, prob_sum = 0.1625, lr = 0.0020000
epoch 16200: KL = 0.1343, logLKH = -4.5190, prob_sum = 0.1626, lr = 0.0020000
epoch 16300: KL = 0.1338, logLKH = -4.5124, prob_sum = 0.1656, lr = 0.0020000
epoch 16400: KL = 0.1331, logLKH = -4.5028, prob_sum = 0.1647, lr = 0.0020000
epoch 16500: KL = 0.1328, logLKH = -4.4977, prob_sum = 0.1672, lr = 0.0020000
epoch 16600: KL = 0.1323, logLKH = -4.4911, prob_sum = 0.1663, lr = 0.0020000
epoch 16700: KL = 0.1323, logLKH = -4.4909, prob_sum = 0.1667, lr = 0.0020000
epoch 16800: KL = 0.1318, logLKH = -4.4845, prob_sum = 0.1678, lr = 0.0020000
epoch 16900: KL = 0.1317, logLKH = -4.4824, prob_sum = 0.1672, lr = 0.0020000
epoch 17000: KL = 0.1306, logLKH = -4.4680, prob_sum = 0.1698, lr = 0.0020000
epoch 17100: KL = 0.1302, logLKH = -4.4625, prob_sum = 0.1712, lr = 0.0020000
epoch 17200: KL = 0.1302, logLKH = -4.4623, prob_sum = 0.1703, lr = 0.0020000
epoch 17300: KL = 0.1298, logLKH = -4.4561, prob_sum = 0.1712, lr = 0.0020000
epoch 17400: KL = 0.1291, logLKH = -4.4465, prob_sum = 0.1758, lr = 0.0020000
epoch 17500: KL = 0.1285, logLKH = -4.4379, prob_sum = 0.1763, lr = 0.0020000
epoch 17600: KL = 0.1282, logLKH = -4.4345, prob_sum = 0.1777, lr = 0.0020000
epoch 17700: KL = 0.1279, logLKH = -4.4302, prob_sum = 0.1794, lr = 0.0020000
epoch 17800: KL = 0.1276, logLKH = -4.4256, prob_sum = 0.1811, lr = 0.0020000
epoch 17900: KL = 0.1275, logLKH = -4.4244, prob_sum = 0.1812, lr = 0.0020000
epoch 18000: KL = 0.1269, logLKH = -4.4155, prob_sum = 0.1803, lr = 0.0020000
epoch 18100: KL = 0.1267, logLKH = -4.4129, prob_sum = 0.1809, lr = 0.0020000
epoch 18200: KL = 0.1262, logLKH = -4.4060, prob_sum = 0.1829, lr = 0.0020000
epoch 18300: KL = 0.1264, logLKH = -4.4082, prob_sum = 0.1845, lr = 0.0020000
epoch 18400: KL = 0.1256, logLKH = -4.3972, prob_sum = 0.1831, lr = 0.0020000
epoch 18500: KL = 0.1248, logLKH = -4.3857, prob_sum = 0.1840, lr = 0.0020000
epoch 18600: KL = 0.1246, logLKH = -4.3833, prob_sum = 0.1837, lr = 0.0020000
epoch 18700: KL = 0.1240, logLKH = -4.3748, prob_sum = 0.1864, lr = 0.0020000
epoch 18800: KL = 0.1236, logLKH = -4.3697, prob_sum = 0.1895, lr = 0.0020000
epoch 18900: KL = 0.1231, logLKH = -4.3631, prob_sum = 0.1915, lr = 0.0020000
epoch 19000: KL = 0.1227, logLKH = -4.3568, prob_sum = 0.1915, lr = 0.0020000
epoch 19100: KL = 0.1225, logLKH = -4.3535, prob_sum = 0.1905, lr = 0.0020000
epoch 19200: KL = 0.1222, logLKH = -4.3497, prob_sum = 0.1960, lr = 0.0020000
epoch 19300: KL = 0.1218, logLKH = -4.3443, prob_sum = 0.1972, lr = 0.0020000
epoch 19400: KL = 0.1215, logLKH = -4.3395, prob_sum = 0.1975, lr = 0.0020000
epoch 19500: KL = 0.1210, logLKH = -4.3333, prob_sum = 0.1962, lr = 0.0020000
epoch 19600: KL = 0.1205, logLKH = -4.3255, prob_sum = 0.1968, lr = 0.0020000
epoch 19700: KL = 0.1201, logLKH = -4.3202, prob_sum = 0.1978, lr = 0.0020000
epoch 19800: KL = 0.1197, logLKH = -4.3144, prob_sum = 0.2008, lr = 0.0020000
