epoch 6500: KL = 0.0773, logLKH = -3.7208, prob_sum = 0.3495, lr = 0.0250000
epoch 6600: KL = 0.0752, logLKH = -3.6924, prob_sum = 0.3510, lr = 0.0250000
epoch 6700: KL = 0.0761, logLKH = -3.7043, prob_sum = 0.3558, lr = 0.0250000
epoch 6800: KL = 0.0749, logLKH = -3.6877, prob_sum = 0.3562, lr = 0.0250000
epoch 6900: KL = 0.0746, logLKH = -3.6833, prob_sum = 0.3609, lr = 0.0250000
epoch 7000: KL = 0.0734, logLKH = -3.6672, prob_sum = 0.3627, lr = 0.0250000
epoch 7100: KL = 0.0731, logLKH = -3.6630, prob_sum = 0.3659, lr = 0.0250000
epoch 7200: KL = 0.0719, logLKH = -3.6454, prob_sum = 0.3696, lr = 0.0250000
epoch 7300: KL = 0.0721, logLKH = -3.6485, prob_sum = 0.3699, lr = 0.0250000
epoch 7400: KL = 0.0733, logLKH = -3.6648, prob_sum = 0.3714, lr = 0.0250000
epoch 7500: KL = 0.0713, logLKH = -3.6372, prob_sum = 0.3789, lr = 0.0250000
epoch 7600: KL = 0.0706, logLKH = -3.6269, prob_sum = 0.3810, lr = 0.0250000
epoch 7700: KL = 0.0696, logLKH = -3.6128, prob_sum = 0.3835, lr = 0.0250000
epoch 7800: KL = 0.0693, logLKH = -3.6095, prob_sum = 0.3865, lr = 0.0250000
epoch 7900: KL = 0.0683, logLKH = -3.5955, prob_sum = 0.3894, lr = 0.0250000
epoch 8000: KL = 0.0680, logLKH = -3.5913, prob_sum = 0.3896, lr = 0.0250000
epoch 8100: KL = 0.0671, logLKH = -3.5790, prob_sum = 0.3943, lr = 0.0250000
epoch 8200: KL = 0.0668, logLKH = -3.5744, prob_sum = 0.3969, lr = 0.0250000
epoch 8300: KL = 0.0667, logLKH = -3.5725, prob_sum = 0.4006, lr = 0.0250000
epoch 8400: KL = 0.0666, logLKH = -3.5720, prob_sum = 0.3995, lr = 0.0250000
epoch 8500: KL = 0.0653, logLKH = -3.5531, prob_sum = 0.4050, lr = 0.0250000
epoch 8600: KL = 0.0645, logLKH = -3.5416, prob_sum = 0.4066, lr = 0.0250000
epoch 8700: KL = 0.0653, logLKH = -3.5535, prob_sum = 0.4071, lr = 0.0250000
epoch 8800: KL = 0.0639, logLKH = -3.5342, prob_sum = 0.4113, lr = 0.0250000
epoch 8900: KL = 0.0644, logLKH = -3.5411, prob_sum = 0.4140, lr = 0.0250000
epoch 9000: KL = 0.0644, logLKH = -3.5406, prob_sum = 0.4148, lr = 0.0250000
epoch 9100: KL = 0.0651, logLKH = -3.5503, prob_sum = 0.4178, lr = 0.0250000
epoch 9200: KL = 0.0652, logLKH = -3.5513, prob_sum = 0.4215, lr = 0.0250000
epoch 9300: KL = 0.0627, logLKH = -3.5162, prob_sum = 0.4232, lr = 0.0250000
epoch 9400: KL = 0.0619, logLKH = -3.5061, prob_sum = 0.4276, lr = 0.0250000
epoch 9500: KL = 0.0631, logLKH = -3.5227, prob_sum = 0.4286, lr = 0.0250000
epoch 9600: KL = 0.0625, logLKH = -3.5144, prob_sum = 0.4322, lr = 0.0250000
epoch 9700: KL = 0.0602, logLKH = -3.4822, prob_sum = 0.4317, lr = 0.0250000
epoch 9800: KL = 0.0612, logLKH = -3.4954, prob_sum = 0.4334, lr = 0.0250000
epoch 9900: KL = 0.0606, logLKH = -3.4881, prob_sum = 0.4381, lr = 0.0250000
epoch 10000: KL = 0.0604, logLKH = -3.4840, prob_sum = 0.4400, lr = 0.0250000
epoch 10100: KL = 0.0595, logLKH = -3.4722, prob_sum = 0.4383, lr = 0.0250000
epoch 10200: KL = 0.0585, logLKH = -3.4579, prob_sum = 0.4446, lr = 0.0250000
epoch 10300: KL = 0.0592, logLKH = -3.4676, prob_sum = 0.4430, lr = 0.0250000
epoch 10400: KL = 0.0588, logLKH = -3.4616, prob_sum = 0.4475, lr = 0.0250000
epoch 10500: KL = 0.0575, logLKH = -3.4440, prob_sum = 0.4486, lr = 0.0250000
epoch 10600: KL = 0.0584, logLKH = -3.4566, prob_sum = 0.4505, lr = 0.0250000
epoch 10700: KL = 0.0573, logLKH = -3.4411, prob_sum = 0.4524, lr = 0.0250000
epoch 10800: KL = 0.0567, logLKH = -3.4326, prob_sum = 0.4551, lr = 0.0250000
epoch 10900: KL = 0.0567, logLKH = -3.4333, prob_sum = 0.4552, lr = 0.0250000
epoch 11000: KL = 0.0564, logLKH = -3.4281, prob_sum = 0.4617, lr = 0.0250000
epoch 11100: KL = 0.0564, logLKH = -3.4290, prob_sum = 0.4610, lr = 0.0250000
epoch 11200: KL = 0.0560, logLKH = -3.4225, prob_sum = 0.4605, lr = 0.0250000
epoch 11300: KL = 0.0556, logLKH = -3.4170, prob_sum = 0.4615, lr = 0.0250000
epoch 11400: KL = 0.0561, logLKH = -3.4249, prob_sum = 0.4666, lr = 0.0250000
epoch 11500: KL = 0.0548, logLKH = -3.4062, prob_sum = 0.4676, lr = 0.0250000
epoch 11600: KL = 0.0545, logLKH = -3.4019, prob_sum = 0.4696, lr = 0.0250000
epoch 11700: KL = 0.0554, logLKH = -3.4143, prob_sum = 0.4702, lr = 0.0250000
epoch 11800: KL = 0.0541, logLKH = -3.3971, prob_sum = 0.4718, lr = 0.0250000
epoch 11900: KL = 0.0536, logLKH = -3.3890, prob_sum = 0.4772, lr = 0.0250000
epoch 12000: KL = 0.0558, logLKH = -3.4205, prob_sum = 0.4779, lr = 0.0250000
epoch 12100: KL = 0.0531, logLKH = -3.3826, prob_sum = 0.4779, lr = 0.0250000
epoch 12200: KL = 0.0541, logLKH = -3.3962, prob_sum = 0.4809, lr = 0.0250000
epoch 12300: KL = 0.0536, logLKH = -3.3889, prob_sum = 0.4803, lr = 0.0250000
epoch 12400: KL = 0.0530, logLKH = -3.3818, prob_sum = 0.4822, lr = 0.0250000
epoch 12500: KL = 0.0522, logLKH = -3.3694, prob_sum = 0.4847, lr = 0.0250000
