epoch:61 ==>  KL = [0.26183208], logLKH = [-6.3047064], prob_sum = 0.0361, time = 0.09s
epoch:62 ==>  KL = [0.26075171], logLKH = [-6.28958129], prob_sum = 0.0365, time = 0.09s
epoch:63 ==>  KL = [0.26058891], logLKH = [-6.28730208], prob_sum = 0.0370, time = 0.09s
epoch:64 ==>  KL = [0.26022672], logLKH = [-6.28223135], prob_sum = 0.0374, time = 0.09s
epoch:65 ==>  KL = [0.25942812], logLKH = [-6.27105101], prob_sum = 0.0382, time = 0.09s
epoch:66 ==>  KL = [0.26065281], logLKH = [-6.28819663], prob_sum = 0.0393, time = 0.09s
epoch:67 ==>  KL = [0.26147538], logLKH = [-6.2997126], prob_sum = 0.0403, time = 0.09s
epoch:68 ==>  KL = [0.26107184], logLKH = [-6.29406307], prob_sum = 0.0408, time = 0.09s
epoch:69 ==>  KL = [0.25805506], logLKH = [-6.25182822], prob_sum = 0.0404, time = 0.09s
epoch:70 ==>  KL = [0.25586407], logLKH = [-6.22115436], prob_sum = 0.0401, time = 0.09s
epoch:71 ==>  KL = [0.25377987], logLKH = [-6.19197548], prob_sum = 0.0401, time = 0.09s
epoch:72 ==>  KL = [0.25231953], logLKH = [-6.17153069], prob_sum = 0.0402, time = 0.09s
epoch:73 ==>  KL = [0.25186794], logLKH = [-6.16520845], prob_sum = 0.0406, time = 0.09s
epoch:74 ==>  KL = [0.25116965], logLKH = [-6.15543246], prob_sum = 0.0409, time = 0.09s
epoch:75 ==>  KL = [0.25032212], logLKH = [-6.14356696], prob_sum = 0.0411, time = 0.09s
epoch:76 ==>  KL = [0.24932801], logLKH = [-6.12964948], prob_sum = 0.0416, time = 0.10s
epoch:77 ==>  KL = [0.24797798], logLKH = [-6.11074898], prob_sum = 0.0418, time = 0.10s
epoch:78 ==>  KL = [0.24689858], logLKH = [-6.09563739], prob_sum = 0.0418, time = 0.09s
epoch:79 ==>  KL = [0.24690188], logLKH = [-6.09568362], prob_sum = 0.0421, time = 0.09s
epoch:80 ==>  KL = [0.24720104], logLKH = [-6.09987194], prob_sum = 0.0425, time = 0.09s
epoch:81 ==>  KL = [0.24714339], logLKH = [-6.09906473], prob_sum = 0.0430, time = 0.10s
epoch:82 ==>  KL = [0.24561718], logLKH = [-6.07769788], prob_sum = 0.0434, time = 0.10s
epoch:83 ==>  KL = [0.24476632], logLKH = [-6.06578582], prob_sum = 0.0440, time = 0.09s
epoch:84 ==>  KL = [0.2438474], logLKH = [-6.05292097], prob_sum = 0.0445, time = 0.09s
epoch:85 ==>  KL = [0.24427806], logLKH = [-6.05895024], prob_sum = 0.0453, time = 0.09s
epoch:86 ==>  KL = [0.24266723], logLKH = [-6.03639861], prob_sum = 0.0456, time = 0.09s
epoch:87 ==>  KL = [0.24031174], logLKH = [-6.00342175], prob_sum = 0.0457, time = 0.09s
epoch:88 ==>  KL = [0.23881739], logLKH = [-5.98250083], prob_sum = 0.0457, time = 0.09s
epoch:89 ==>  KL = [0.23717413], logLKH = [-5.95949511], prob_sum = 0.0458, time = 0.09s
epoch:90 ==>  KL = [0.2369931], logLKH = [-5.95696075], prob_sum = 0.0459, time = 0.09s
epoch:91 ==>  KL = [0.23754807], logLKH = [-5.96473029], prob_sum = 0.0463, time = 0.10s
epoch:92 ==>  KL = [0.23884571], logLKH = [-5.98289729], prob_sum = 0.0468, time = 0.09s
epoch:93 ==>  KL = [0.23987132], logLKH = [-5.99725575], prob_sum = 0.0474, time = 0.09s
epoch:94 ==>  KL = [0.24110532], logLKH = [-6.01453181], prob_sum = 0.0480, time = 0.09s
epoch:95 ==>  KL = [0.2401988], logLKH = [-6.00184047], prob_sum = 0.0481, time = 0.09s
epoch:96 ==>  KL = [0.23823005], logLKH = [-5.97427804], prob_sum = 0.0478, time = 0.09s
epoch:97 ==>  KL = [0.23743993], logLKH = [-5.9632163], prob_sum = 0.0479, time = 0.10s
epoch:98 ==>  KL = [0.23599449], logLKH = [-5.94298018], prob_sum = 0.0482, time = 0.09s
epoch:99 ==>  KL = [0.23529043], logLKH = [-5.93312335], prob_sum = 0.0487, time = 0.09s
epoch:100 ==>  KL = [0.23549486], logLKH = [-5.93598536], prob_sum = 0.0495, time = 0.09s
epoch:101 ==>  KL = [0.2361003], logLKH = [-5.94446153], prob_sum = 0.0504, time = 0.09s
epoch:102 ==>  KL = [0.23786382], logLKH = [-5.96915084], prob_sum = 0.0516, time = 0.09s
epoch:103 ==>  KL = [0.23858744], logLKH = [-5.97928152], prob_sum = 0.0524, time = 0.09s
epoch:104 ==>  KL = [0.23909569], logLKH = [-5.98639703], prob_sum = 0.0531, time = 0.09s
epoch:105 ==>  KL = [0.2383704], logLKH = [-5.97624298], prob_sum = 0.0537, time = 0.09s
epoch:106 ==>  KL = [0.23646326], logLKH = [-5.94954291], prob_sum = 0.0536, time = 0.10s
epoch:107 ==>  KL = [0.2337696], logLKH = [-5.91183168], prob_sum = 0.0533, time = 0.10s
epoch:108 ==>  KL = [0.23208488], logLKH = [-5.88824563], prob_sum = 0.0532, time = 0.09s
epoch:109 ==>  KL = [0.23105744], logLKH = [-5.87386148], prob_sum = 0.0534, time = 0.09s
epoch:110 ==>  KL = [0.22980828], logLKH = [-5.85637323], prob_sum = 0.0534, time = 0.09s
epoch:111 ==>  KL = [0.22824539], logLKH = [-5.83449281], prob_sum = 0.0532, time = 0.09s
epoch:112 ==>  KL = [0.227218], logLKH = [-5.82010928], prob_sum = 0.0533, time = 0.10s
epoch:113 ==>  KL = [0.22764451], logLKH = [-5.82608045], prob_sum = 0.0538, time = 0.09s
epoch:114 ==>  KL = [0.22830064], logLKH = [-5.83526625], prob_sum = 0.0541, time = 0.09s
epoch:115 ==>  KL = [0.22851662], logLKH = [-5.83829002], prob_sum = 0.0544, time = 0.09s
epoch:116 ==>  KL = [0.22834847], logLKH = [-5.8359359], prob_sum = 0.0549, time = 0.09s
epoch:117 ==>  KL = [0.22819087], logLKH = [-5.83372944], prob_sum = 0.0553, time = 0.09s
epoch:118 ==>  KL = [0.22758199], logLKH = [-5.82520513], prob_sum = 0.0556, time = 0.09s
epoch:119 ==>  KL = [0.22595171], logLKH = [-5.80238131], prob_sum = 0.0553, time = 0.09s
epoch:120 ==>  KL = [0.22447597], logLKH = [-5.78172086], prob_sum = 0.0549, time = 0.09s
epoch:121 ==>  KL = [0.22304573], logLKH = [-5.76169758], prob_sum = 0.0547, time = 0.09s
epoch:122 ==>  KL = [0.22220234], logLKH = [-5.74989002], prob_sum = 0.0546, time = 0.09s
epoch:123 ==>  KL = [0.22117985], logLKH = [-5.73557518], prob_sum = 0.0547, time = 0.09s
epoch:124 ==>  KL = [0.22079499], logLKH = [-5.73018723], prob_sum = 0.0550, time = 0.09s
epoch:125 ==>  KL = [0.22044705], logLKH = [-5.72531599], prob_sum = 0.0553, time = 0.09s
epoch:126 ==>  KL = [0.22013065], logLKH = [-5.72088645], prob_sum = 0.0554, time = 0.09s
epoch:127 ==>  KL = [0.21979136], logLKH = [-5.71613633], prob_sum = 0.0559, time = 0.09s
