epoch:61 ==>  KL = [0.86857049], logLKH = [-14.79904423], prob_sum = 0.0004, time = 0.08s
epoch:62 ==>  KL = [0.8647246], logLKH = [-14.74520168], prob_sum = 0.0004, time = 0.07s
epoch:63 ==>  KL = [0.86072607], logLKH = [-14.68922233], prob_sum = 0.0004, time = 0.07s
epoch:64 ==>  KL = [0.8583521], logLKH = [-14.65598675], prob_sum = 0.0004, time = 0.08s
epoch:65 ==>  KL = [0.85623962], logLKH = [-14.62641204], prob_sum = 0.0004, time = 0.07s
epoch:66 ==>  KL = [0.85540962], logLKH = [-14.61479204], prob_sum = 0.0004, time = 0.07s
epoch:67 ==>  KL = [0.85321571], logLKH = [-14.58407729], prob_sum = 0.0004, time = 0.08s
epoch:68 ==>  KL = [0.85009006], logLKH = [-14.5403181], prob_sum = 0.0004, time = 0.08s
epoch:69 ==>  KL = [0.8464446], logLKH = [-14.48928171], prob_sum = 0.0005, time = 0.07s
epoch:70 ==>  KL = [0.84540323], logLKH = [-14.47470258], prob_sum = 0.0004, time = 0.07s
epoch:71 ==>  KL = [0.84465555], logLKH = [-14.4642351], prob_sum = 0.0005, time = 0.07s
epoch:72 ==>  KL = [0.84369679], logLKH = [-14.45081241], prob_sum = 0.0005, time = 0.07s
epoch:73 ==>  KL = [0.84180294], logLKH = [-14.42429851], prob_sum = 0.0005, time = 0.08s
epoch:74 ==>  KL = [0.84033164], logLKH = [-14.40370032], prob_sum = 0.0005, time = 0.07s
epoch:75 ==>  KL = [0.83700036], logLKH = [-14.35706234], prob_sum = 0.0005, time = 0.07s
epoch:76 ==>  KL = [0.83417568], logLKH = [-14.31751686], prob_sum = 0.0005, time = 0.08s
epoch:77 ==>  KL = [0.83209306], logLKH = [-14.28836016], prob_sum = 0.0005, time = 0.07s
epoch:78 ==>  KL = [0.83103363], logLKH = [-14.27352817], prob_sum = 0.0005, time = 0.07s
epoch:79 ==>  KL = [0.82811329], logLKH = [-14.23264339], prob_sum = 0.0005, time = 0.08s
epoch:80 ==>  KL = [0.8269049], logLKH = [-14.21572591], prob_sum = 0.0005, time = 0.07s
epoch:81 ==>  KL = [0.82539327], logLKH = [-14.19456317], prob_sum = 0.0005, time = 0.07s
epoch:82 ==>  KL = [0.82212775], logLKH = [-14.14884583], prob_sum = 0.0005, time = 0.08s
epoch:83 ==>  KL = [0.81996777], logLKH = [-14.11860606], prob_sum = 0.0005, time = 0.08s
epoch:84 ==>  KL = [0.81832798], logLKH = [-14.09564909], prob_sum = 0.0005, time = 0.07s
epoch:85 ==>  KL = [0.81655507], logLKH = [-14.07082831], prob_sum = 0.0005, time = 0.07s
epoch:86 ==>  KL = [0.81415669], logLKH = [-14.03725099], prob_sum = 0.0005, time = 0.09s
epoch:87 ==>  KL = [0.81198095], logLKH = [-14.00679069], prob_sum = 0.0005, time = 0.07s
epoch:88 ==>  KL = [0.8109912], logLKH = [-13.99293413], prob_sum = 0.0005, time = 0.07s
epoch:89 ==>  KL = [0.80901161], logLKH = [-13.96521982], prob_sum = 0.0005, time = 0.08s
epoch:90 ==>  KL = [0.8064232], logLKH = [-13.92898217], prob_sum = 0.0006, time = 0.07s
epoch:91 ==>  KL = [0.80340874], logLKH = [-13.88677963], prob_sum = 0.0006, time = 0.07s
epoch:92 ==>  KL = [0.80127551], logLKH = [-13.8569145], prob_sum = 0.0006, time = 0.08s
epoch:93 ==>  KL = [0.79941676], logLKH = [-13.8308919], prob_sum = 0.0006, time = 0.07s
epoch:94 ==>  KL = [0.79781024], logLKH = [-13.80840074], prob_sum = 0.0006, time = 0.07s
epoch:95 ==>  KL = [0.79515797], logLKH = [-13.77126894], prob_sum = 0.0006, time = 0.07s
