epoch:5900 ==>  KL = [0.06015822], logLKH = [-3.48127246], prob_sum = 0.4378, time = 0.04s
epoch:6000 ==>  KL = [0.05984058], logLKH = [-3.47682547], prob_sum = 0.4455, time = 0.04s
epoch:6100 ==>  KL = [0.0590563], logLKH = [-3.4658455], prob_sum = 0.4536, time = 0.04s
epoch:6200 ==>  KL = [0.0582432], logLKH = [-3.45446219], prob_sum = 0.4598, time = 0.04s
epoch:6300 ==>  KL = [0.0573158], logLKH = [-3.44147848], prob_sum = 0.4665, time = 0.04s
epoch:6400 ==>  KL = [0.05550346], logLKH = [-3.41610578], prob_sum = 0.4729, time = 0.04s
epoch:6500 ==>  KL = [0.05468239], logLKH = [-3.40461073], prob_sum = 0.4792, time = 0.04s
epoch:6600 ==>  KL = [0.05230943], logLKH = [-3.37138935], prob_sum = 0.4853, time = 0.04s
epoch:6700 ==>  KL = [0.05231881], logLKH = [-3.37152062], prob_sum = 0.4921, time = 0.04s
epoch:6800 ==>  KL = [0.05087049], logLKH = [-3.35124418], prob_sum = 0.4991, time = 0.04s
epoch:6900 ==>  KL = [0.05063677], logLKH = [-3.34797207], prob_sum = 0.5065, time = 0.04s
epoch:7000 ==>  KL = [0.04937352], logLKH = [-3.33028667], prob_sum = 0.5143, time = 0.04s
epoch:7100 ==>  KL = [0.05439636], logLKH = [-3.40060641], prob_sum = 0.5266, time = 0.04s
epoch:7200 ==>  KL = [0.04859532], logLKH = [-3.31939182], prob_sum = 0.5272, time = 0.04s
epoch:7300 ==>  KL = [0.04786166], logLKH = [-3.30912058], prob_sum = 0.5323, time = 0.04s
epoch:7400 ==>  KL = [0.04640369], logLKH = [-3.28870901], prob_sum = 0.5372, time = 0.04s
epoch:7500 ==>  KL = [0.0466938], logLKH = [-3.2927705], prob_sum = 0.5452, time = 0.04s
epoch:7600 ==>  KL = [0.04560831], logLKH = [-3.2775737], prob_sum = 0.5509, time = 0.04s
epoch:7700 ==>  KL = [0.04302845], logLKH = [-3.24145562], prob_sum = 0.5561, time = 0.04s
epoch:7800 ==>  KL = [0.04335207], logLKH = [-3.24598629], prob_sum = 0.5613, time = 0.04s
epoch:7900 ==>  KL = [0.04184372], logLKH = [-3.22486945], prob_sum = 0.5669, time = 0.04s
epoch:8000 ==>  KL = [0.04217665], logLKH = [-3.22953046], prob_sum = 0.5727, time = 0.04s
epoch:8100 ==>  KL = [0.04134177], logLKH = [-3.21784213], prob_sum = 0.5774, time = 0.04s
epoch:8200 ==>  KL = [0.04143768], logLKH = [-3.21918485], prob_sum = 0.5833, time = 0.04s
epoch:8300 ==>  KL = [0.04052422], logLKH = [-3.20639643], prob_sum = 0.5882, time = 0.04s
epoch:8400 ==>  KL = [0.0410321], logLKH = [-3.21350677], prob_sum = 0.5941, time = 0.04s
epoch:8500 ==>  KL = [0.03839158], logLKH = [-3.17653939], prob_sum = 0.5978, time = 0.04s
epoch:8600 ==>  KL = [0.03815493], logLKH = [-3.17322641], prob_sum = 0.6038, time = 0.04s
epoch:8700 ==>  KL = [0.03774203], logLKH = [-3.16744574], prob_sum = 0.6088, time = 0.04s
epoch:8800 ==>  KL = [0.03723883], logLKH = [-3.16040099], prob_sum = 0.6132, time = 0.04s
epoch:8900 ==>  KL = [0.03758992], logLKH = [-3.16531626], prob_sum = 0.6182, time = 0.04s
epoch:9000 ==>  KL = [0.03688709], logLKH = [-3.15547659], prob_sum = 0.6221, time = 0.04s
epoch:9100 ==>  KL = [0.03659597], logLKH = [-3.15140096], prob_sum = 0.6274, time = 0.04s
epoch:9200 ==>  KL = [0.03583391], logLKH = [-3.14073204], prob_sum = 0.6310, time = 0.04s
epoch:9300 ==>  KL = [0.03564234], logLKH = [-3.13805008], prob_sum = 0.6354, time = 0.04s
epoch:9400 ==>  KL = [0.03675466], logLKH = [-3.15362262], prob_sum = 0.6418, time = 0.04s
epoch:9500 ==>  KL = [0.03451971], logLKH = [-3.12233329], prob_sum = 0.6443, time = 0.04s
epoch:9600 ==>  KL = [0.03511973], logLKH = [-3.13073357], prob_sum = 0.6498, time = 0.04s
epoch:9700 ==>  KL = [0.03802551], logLKH = [-3.17141446], prob_sum = 0.6579, time = 0.04s
epoch:9800 ==>  KL = [0.03591514], logLKH = [-3.14186927], prob_sum = 0.6608, time = 0.04s
epoch:9900 ==>  KL = [0.03510298], logLKH = [-3.13049909], prob_sum = 0.6636, time = 0.04s
epoch:10000 ==>  KL = [0.03325219], logLKH = [-3.10458794], prob_sum = 0.6662, time = 0.04s
epoch:10100 ==>  KL = [0.03333953], logLKH = [-3.1058108], prob_sum = 0.6702, time = 0.04s
epoch:10200 ==>  KL = [0.03164713], logLKH = [-3.08211711], prob_sum = 0.6731, time = 0.04s
epoch:10300 ==>  KL = [0.03025153], logLKH = [-3.06257875], prob_sum = 0.6770, time = 0.04s
epoch:10400 ==>  KL = [0.03162881], logLKH = [-3.08186073], prob_sum = 0.6825, time = 0.04s
epoch:10500 ==>  KL = [0.03301929], logLKH = [-3.10132734], prob_sum = 0.6881, time = 0.04s
epoch:10600 ==>  KL = [0.03155938], logLKH = [-3.08088859], prob_sum = 0.6909, time = 0.04s
epoch:10700 ==>  KL = [0.03199747], logLKH = [-3.08702192], prob_sum = 0.6952, time = 0.04s
epoch:10800 ==>  KL = [0.0310639], logLKH = [-3.07395198], prob_sum = 0.6980, time = 0.04s
epoch:10900 ==>  KL = [0.02910943], logLKH = [-3.04658941], prob_sum = 0.7003, time = 0.04s
epoch:11000 ==>  KL = [0.02875084], logLKH = [-3.04156913], prob_sum = 0.7033, time = 0.04s
epoch:11100 ==>  KL = [0.02887908], logLKH = [-3.0433644], prob_sum = 0.7064, time = 0.04s
epoch:11200 ==>  KL = [0.02889347], logLKH = [-3.0435659], prob_sum = 0.7099, time = 0.04s
