epoch:5900 ==>  KL = [0.2473303], logLKH = [-6.10168157], prob_sum = 0.3786, time = 0.06s
epoch:6000 ==>  KL = [0.24522265], logLKH = [-6.07217447], prob_sum = 0.3895, time = 0.06s
epoch:6100 ==>  KL = [0.24247993], logLKH = [-6.03377638], prob_sum = 0.3936, time = 0.06s
epoch:6200 ==>  KL = [0.24085824], logLKH = [-6.01107268], prob_sum = 0.4030, time = 0.06s
epoch:6300 ==>  KL = [0.23857156], logLKH = [-5.97905923], prob_sum = 0.4138, time = 0.06s
epoch:6400 ==>  KL = [0.23681738], logLKH = [-5.95450062], prob_sum = 0.4225, time = 0.06s
epoch:6500 ==>  KL = [0.23592872], logLKH = [-5.94205946], prob_sum = 0.4323, time = 0.06s
epoch:6600 ==>  KL = [0.23309829], logLKH = [-5.90243333], prob_sum = 0.4435, time = 0.06s
epoch:6700 ==>  KL = [0.23048208], logLKH = [-5.86580646], prob_sum = 0.4459, time = 0.06s
epoch:6800 ==>  KL = [0.22869877], logLKH = [-5.8408401], prob_sum = 0.4546, time = 0.06s
epoch:6900 ==>  KL = [0.22642064], logLKH = [-5.80894623], prob_sum = 0.4593, time = 0.06s
epoch:7000 ==>  KL = [0.2248405], logLKH = [-5.78682426], prob_sum = 0.4712, time = 0.06s
epoch:7100 ==>  KL = [0.2230568], logLKH = [-5.76185255], prob_sum = 0.4783, time = 0.06s
epoch:7200 ==>  KL = [0.22035656], logLKH = [-5.72404912], prob_sum = 0.4869, time = 0.06s
epoch:7300 ==>  KL = [0.21814307], logLKH = [-5.69306033], prob_sum = 0.4936, time = 0.06s
epoch:7400 ==>  KL = [0.21624604], logLKH = [-5.66650194], prob_sum = 0.4991, time = 0.06s
epoch:7500 ==>  KL = [0.21431248], logLKH = [-5.63943209], prob_sum = 0.5102, time = 0.06s
epoch:7600 ==>  KL = [0.21365316], logLKH = [-5.63020155], prob_sum = 0.5172, time = 0.06s
epoch:7700 ==>  KL = [0.21254875], logLKH = [-5.61473989], prob_sum = 0.5292, time = 0.06s
epoch:7800 ==>  KL = [0.21169241], logLKH = [-5.6027511], prob_sum = 0.5393, time = 0.06s
epoch:7900 ==>  KL = [0.20940527], logLKH = [-5.57073105], prob_sum = 0.5409, time = 0.06s
epoch:8000 ==>  KL = [0.20734587], logLKH = [-5.5418995], prob_sum = 0.5440, time = 0.06s
epoch:8100 ==>  KL = [0.2069401], logLKH = [-5.53621868], prob_sum = 0.5541, time = 0.06s
epoch:8200 ==>  KL = [0.20647504], logLKH = [-5.52970794], prob_sum = 0.5608, time = 0.06s
epoch:8300 ==>  KL = [0.20439786], logLKH = [-5.50062741], prob_sum = 0.5654, time = 0.06s
epoch:8400 ==>  KL = [0.20295817], logLKH = [-5.48047172], prob_sum = 0.5710, time = 0.06s
epoch:8500 ==>  KL = [0.20218764], logLKH = [-5.46968424], prob_sum = 0.5785, time = 0.06s
epoch:8600 ==>  KL = [0.20125402], logLKH = [-5.45661357], prob_sum = 0.5854, time = 0.06s
epoch:8700 ==>  KL = [0.20045227], logLKH = [-5.44538916], prob_sum = 0.5907, time = 0.06s
epoch:8800 ==>  KL = [0.19975644], logLKH = [-5.43564755], prob_sum = 0.5989, time = 0.06s
epoch:8900 ==>  KL = [0.19743804], logLKH = [-5.40318986], prob_sum = 0.5999, time = 0.06s
epoch:9000 ==>  KL = [0.19639858], logLKH = [-5.38863745], prob_sum = 0.6045, time = 0.06s
epoch:9100 ==>  KL = [0.19438233], logLKH = [-5.36040997], prob_sum = 0.6060, time = 0.06s
epoch:9200 ==>  KL = [0.1952786], logLKH = [-5.37295778], prob_sum = 0.6141, time = 0.06s
epoch:9300 ==>  KL = [0.19405232], logLKH = [-5.35578983], prob_sum = 0.6180, time = 0.06s
epoch:9400 ==>  KL = [0.19492251], logLKH = [-5.36797246], prob_sum = 0.6305, time = 0.08s
epoch:9500 ==>  KL = [0.19461602], logLKH = [-5.36368158], prob_sum = 0.6359, time = 0.06s
epoch:9600 ==>  KL = [0.19401438], logLKH = [-5.35525872], prob_sum = 0.6402, time = 0.06s
epoch:9700 ==>  KL = [0.19373833], logLKH = [-5.35139392], prob_sum = 0.6454, time = 0.06s
epoch:9800 ==>  KL = [0.19321321], logLKH = [-5.34404223], prob_sum = 0.6501, time = 0.06s
epoch:9900 ==>  KL = [0.1933382], logLKH = [-5.34579214], prob_sum = 0.6578, time = 0.06s
epoch:10000 ==>  KL = [0.19152864], logLKH = [-5.32045832], prob_sum = 0.6605, time = 0.06s
epoch:10100 ==>  KL = [0.19090845], logLKH = [-5.31177562], prob_sum = 0.6644, time = 0.06s
epoch:10200 ==>  KL = [0.19032121], logLKH = [-5.30355427], prob_sum = 0.6692, time = 0.06s
epoch:10300 ==>  KL = [0.18884608], logLKH = [-5.28290252], prob_sum = 0.6722, time = 0.06s
epoch:10400 ==>  KL = [0.18918006], logLKH = [-5.28757812], prob_sum = 0.6773, time = 0.06s
epoch:10500 ==>  KL = [0.18945771], logLKH = [-5.29146526], prob_sum = 0.6844, time = 0.06s
epoch:10600 ==>  KL = [0.18885769], logLKH = [-5.28306506], prob_sum = 0.6893, time = 0.06s
epoch:10700 ==>  KL = [0.18792313], logLKH = [-5.26998112], prob_sum = 0.6925, time = 0.06s
epoch:10800 ==>  KL = [0.18679905], logLKH = [-5.2542441], prob_sum = 0.6968, time = 0.06s
epoch:10900 ==>  KL = [0.18573287], logLKH = [-5.23931747], prob_sum = 0.6994, time = 0.06s
epoch:11000 ==>  KL = [0.1851496], logLKH = [-5.2311518], prob_sum = 0.7032, time = 0.06s
epoch:11100 ==>  KL = [0.18366354], logLKH = [-5.21034684], prob_sum = 0.7083, time = 0.06s
epoch:11200 ==>  KL = [0.18127201], logLKH = [-5.17686549], prob_sum = 0.7088, time = 0.06s
epoch:11300 ==>  KL = [0.17966333], logLKH = [-5.15434395], prob_sum = 0.7100, time = 0.06s
epoch:11400 ==>  KL = [0.1795569], logLKH = [-5.15285388], prob_sum = 0.7151, time = 0.06s
epoch:11500 ==>  KL = [0.17952226], logLKH = [-5.15236895], prob_sum = 0.7209, time = 0.06s
epoch:11600 ==>  KL = [0.17970845], logLKH = [-5.15497559], prob_sum = 0.7263, time = 0.06s
epoch:11700 ==>  KL = [0.17903308], logLKH = [-5.14552046], prob_sum = 0.7301, time = 0.06s
epoch:11800 ==>  KL = [0.17888904], logLKH = [-5.14350392], prob_sum = 0.7343, time = 0.06s
epoch:11900 ==>  KL = [0.17955571], logLKH = [-5.1528373], prob_sum = 0.7401, time = 0.06s
epoch:12000 ==>  KL = [0.1790967], logLKH = [-5.14641109], prob_sum = 0.7439, time = 0.06s
epoch:12100 ==>  KL = [0.17863431], logLKH = [-5.13993768], prob_sum = 0.7471, time = 0.06s
epoch:12200 ==>  KL = [0.17692559], logLKH = [-5.11601557], prob_sum = 0.7468, time = 0.06s
epoch:12300 ==>  KL = [0.17611547], logLKH = [-5.10467387], prob_sum = 0.7482, time = 0.06s
epoch:12400 ==>  KL = [0.17673923], logLKH = [-5.11340658], prob_sum = 0.7519, time = 0.06s
epoch:12500 ==>  KL = [0.17661534], logLKH = [-5.11167216], prob_sum = 0.7572, time = 0.06s
epoch:12600 ==>  KL = [0.17608188], logLKH = [-5.10420363], prob_sum = 0.7609, time = 0.06s
epoch:12700 ==>  KL = [0.17524599], logLKH = [-5.09250117], prob_sum = 0.7638, time = 0.06s
epoch:12800 ==>  KL = [0.17373276], logLKH = [-5.07131598], prob_sum = 0.7653, time = 0.06s
epoch:12900 ==>  KL = [0.17203721], logLKH = [-5.04757832], prob_sum = 0.7654, time = 0.06s
epoch:13000 ==>  KL = [0.17259188], logLKH = [-5.0553436], prob_sum = 0.7701, time = 0.06s
epoch:13100 ==>  KL = [0.17204773], logLKH = [-5.04772551], prob_sum = 0.7722, time = 0.06s
epoch:13200 ==>  KL = [0.17250494], logLKH = [-5.05412643], prob_sum = 0.7750, time = 0.06s
epoch:13300 ==>  KL = [0.17244332], logLKH = [-5.05326385], prob_sum = 0.7813, time = 0.06s
epoch:13400 ==>  KL = [0.17247729], logLKH = [-5.0537394], prob_sum = 0.7845, time = 0.06s
epoch:13500 ==>  KL = [0.17262009], logLKH = [-5.05573855], prob_sum = 0.7881, time = 0.06s
epoch:13600 ==>  KL = [0.17225912], logLKH = [-5.05068499], prob_sum = 0.7902, time = 0.06s
epoch:13700 ==>  KL = [0.17176115], logLKH = [-5.04371344], prob_sum = 0.7926, time = 0.07s
epoch:13800 ==>  KL = [0.17123408], logLKH = [-5.03633439], prob_sum = 0.7946, time = 0.06s
epoch:13900 ==>  KL = [0.17172203], logLKH = [-5.04316571], prob_sum = 0.7982, time = 0.06s
epoch:14000 ==>  KL = [0.17193443], logLKH = [-5.0461393], prob_sum = 0.8000, time = 0.06s
epoch:14100 ==>  KL = [0.17142228], logLKH = [-5.0389692], prob_sum = 0.8015, time = 0.06s
epoch:14200 ==>  KL = [0.17025423], logLKH = [-5.02261652], prob_sum = 0.8028, time = 0.06s
epoch:14300 ==>  KL = [0.17111717], logLKH = [-5.03469775], prob_sum = 0.8078, time = 0.06s
epoch:14400 ==>  KL = [0.17156239], logLKH = [-5.04093079], prob_sum = 0.8116, time = 0.06s
epoch:14500 ==>  KL = [0.17278442], logLKH = [-5.05803921], prob_sum = 0.8169, time = 0.06s
epoch:14600 ==>  KL = [0.17303519], logLKH = [-5.06155004], prob_sum = 0.8190, time = 0.06s
epoch:14700 ==>  KL = [0.17274401], logLKH = [-5.0574734], prob_sum = 0.8213, time = 0.06s
epoch:14800 ==>  KL = [0.17258092], logLKH = [-5.05519017], prob_sum = 0.8244, time = 0.06s
epoch:14900 ==>  KL = [0.16992913], logLKH = [-5.01806516], prob_sum = 0.8227, time = 0.06s
epoch:15000 ==>  KL = [0.16884271], logLKH = [-5.00285527], prob_sum = 0.8231, time = 0.06s
epoch:15100 ==>  KL = [0.16678279], logLKH = [-4.97401637], prob_sum = 0.8223, time = 0.06s
epoch:15200 ==>  KL = [0.16698054], logLKH = [-4.9767849], prob_sum = 0.8238, time = 0.06s
epoch:15300 ==>  KL = [0.16589639], logLKH = [-4.96160675], prob_sum = 0.8244, time = 0.06s
epoch:15400 ==>  KL = [0.16593939], logLKH = [-4.96220875], prob_sum = 0.8269, time = 0.06s
epoch:15500 ==>  KL = [0.16445043], logLKH = [-4.94136335], prob_sum = 0.8272, time = 0.06s
epoch:15600 ==>  KL = [0.16498599], logLKH = [-4.94886124], prob_sum = 0.8302, time = 0.06s
epoch:15700 ==>  KL = [0.16379497], logLKH = [-4.93218691], prob_sum = 0.8310, time = 0.06s
epoch:15800 ==>  KL = [0.16395462], logLKH = [-4.93442207], prob_sum = 0.8337, time = 0.06s
epoch:15900 ==>  KL = [0.16356781], logLKH = [-4.92900663], prob_sum = 0.8361, time = 0.06s
epoch:16000 ==>  KL = [0.16320548], logLKH = [-4.92393407], prob_sum = 0.8380, time = 0.06s
epoch:16100 ==>  KL = [0.16312128], logLKH = [-4.92275526], prob_sum = 0.8398, time = 0.06s
epoch:16200 ==>  KL = [0.16249001], logLKH = [-4.9139175], prob_sum = 0.8414, time = 0.06s
epoch:16300 ==>  KL = [0.16359742], logLKH = [-4.92942127], prob_sum = 0.8453, time = 0.06s
epoch:16400 ==>  KL = [0.16451124], logLKH = [-4.94221467], prob_sum = 0.8487, time = 0.06s
epoch:16500 ==>  KL = [0.16420513], logLKH = [-4.93792912], prob_sum = 0.8500, time = 0.06s
epoch:16600 ==>  KL = [0.1641025], logLKH = [-4.93649237], prob_sum = 0.8530, time = 0.06s
epoch:16700 ==>  KL = [0.16302732], logLKH = [-4.92143985], prob_sum = 0.8530, time = 0.06s
epoch:16800 ==>  KL = [0.16121849], logLKH = [-4.89611616], prob_sum = 0.8526, time = 0.06s
epoch:16900 ==>  KL = [0.16111866], logLKH = [-4.8947186], prob_sum = 0.8547, time = 0.06s
epoch:17000 ==>  KL = [0.16133166], logLKH = [-4.89770061], prob_sum = 0.8565, time = 0.06s
epoch:17100 ==>  KL = [0.16158114], logLKH = [-4.90119326], prob_sum = 0.8582, time = 0.06s
epoch:17200 ==>  KL = [0.16104646], logLKH = [-4.8937078], prob_sum = 0.8583, time = 0.06s
epoch:17300 ==>  KL = [0.16089668], logLKH = [-4.89161085], prob_sum = 0.8587, time = 0.06s
epoch:17400 ==>  KL = [0.16166662], logLKH = [-4.90239008], prob_sum = 0.8619, time = 0.06s
epoch:17500 ==>  KL = [0.16081892], logLKH = [-4.89052218], prob_sum = 0.8622, time = 0.06s
epoch:17600 ==>  KL = [0.15984494], logLKH = [-4.87688651], prob_sum = 0.8635, time = 0.06s
